iter	Passed	Remaining
244	8315	25626
245	8376	25673
246	8420	25671
247	8455	25639
248	8494	25620
249	8545	25637
250	8590	25635
251	8625	25604
252	8649	25537
253	8681	25498
254	8714	25461
255	8736	25389
256	8755	25312
257	8780	25251
258	8828	25259
259	8875	25261
260	8909	25225
261	8942	25190
262	8963	25117
263	8977	25028
264	8997	24956
265	9016	24881
266	9040	24818
267	9052	24726
268	9067	24639
269	9079	24547
270	9092	24458
271	9105	24371
272	9118	24281
273	9132	24197
274	9146	24113
275	9161	24032
276	9178	23957
277	9189	23866
278	9202	23782
279	9215	23697
280	9227	23611
281	9241	23530
282	9253	23443
283	9266	23362
284	9278	23276
285	9291	23195
286	9304	23114
287	9317	23035
288	9330	22953
289	9344	22877
290	9357	22799
291	9372	22724
292	9385	22646
293	9399	22571
294	9419	22510
295	9444	22463
296	9460	22392
297	9470	22309
298	9483	22234
299	9495	22156
300	9511	22087
301	9526	22018
302	9538	21941
303	9550	21864
304	9562	21790
305	9574	21713
306	9584	21636
307	9598	21565
308	9612	21495
309	9624	21423
310	9637	21351
311	9646	21272
312	9661	21205
313	9675	21138
314	9689	21070
315	9704	21005
316	9715	20933
317	9726	20859
318	9740	20794
319	9756	20732
320	9768	20662
321	9781	20596
322	9797	20535
323	9813	20474
324	9829	20415
325	9845	20355
326	9861	20296
327	9881	20245
328	9900	20192
329	9917	20134
330	9932	20075
331	9957	20035
332	9980	19991
333	9993	19927
334	10004	19860
335	10020	19801
336	10037	19746
337	10053	19690
338	10070	19636
339	10087	19581
340	10101	19521
341	10117	19465
342	10129	19402
343	10147	19350
344	10162	19294
345	10174	19231
346	10193	19181
347	10208	19126
348	10223	19069
349	10236	19009
350	10250	18952
351	10262	18891
352	10275	18833
353	10289	18776
354	10302	18718
355	10315	18660
356	10326	18598
357	10338	18540
358	10353	18487
359	10368	18432
360	10400	18409
361	10412	18350
362	10425	18295
363	10438	18238
364	10457	18193
365	10472	18140
366	10485	18085
367	10498	18029
368	10509	17972
369	10524	17920
370	10543	17876
371	10558	17825
372	10575	17777
373	10593	17730
374	10609	17682
375	10625	17633
376	10642	17586
377	10657	17536
378	10670	17483
379	10683	17430
380	10700	17384
381	10719	17341
382	10743	17306
383	10764	17267
384	10780	17221
385	10801	17181
386	10850	17186
387	10888	17175
388	10911	17139
389	10946	17121
390	10961	17073
391	10978	17027
392	10996	16984
393	11015	16942
394	11031	16895
395	11043	16844
396	11057	16795
397	11077	16755
398	11098	16717
399	11111	16666
400	11122	16614
401	11135	16564
402	11147	16513
403	11159	16462
404	11172	16413
405	11186	16366
406	11198	16316
407	11213	16270
408	11225	16220
409	11241	16177
410	11252	16126
411	11265	16078
412	11282	16035
413	11295	15987
414	11308	15940
415	11318	15888
416	11331	15842
417	11344	15795
418	11357	15749
419	11367	15698
420	11379	15650
421	11391	15602
422	11410	15564
423	11422	15517
424	11433	15468
425	11446	15423
426	11460	15379
427	11476	15337
428	11486	15288
429	11500	15244
430	11514	15201
431	11528	15158
432	11541	15112
433	11552	15066
434	11564	15021
435	11580	14979
436	11591	14933
437	11607	14893
438	11619	14848
439	11632	14804
440	11645	14762
441	11658	14718
442	11668	14670
443	11679	14626
444	11691	14581
445	11705	14539
446	11715	14493
447	11726	14448
448	11738	14405
449	11751	14362
450	11765	14321
451	11780	14283
452	11797	14244
453	11809	14202
454	11820	14158
455	11830	14114
456	11842	14070
457	11853	14027
458	11866	13985
459	11879	13946
460	11894	13906
461	11906	13865
462	11919	13825
463	11937	13790
464	11948	13747
465	11960	13705
466	11976	13668
467	11991	13631
468	12005	13592
469	12016	13550
470	12030	13511
471	12045	13474
472	12057	13434
473	12071	13395
474	12084	13356
475	12105	13326
476	12127	13296
477	12144	13262
478	12158	13224
479	12171	13185
480	12185	13148
481	12195	13106
482	12208	13067
483	12221	13029
484	12233	12990
485	12245	12951
486	12256	12911
487	12271	12874
488	12283	12836
489	12296	12798
490	12308	12759
491	12321	12722
492	12332	12682
493	12344	12644
494	12357	12606
495	12371	12570
496	12383	12532
497	12394	12493
498	12408	12458
499	12420	12420
500	12431	12382
501	12441	12342
502	12454	12305
503	12468	12270
504	12481	12234
505	12490	12194
506	12504	12158
507	12516	12122
508	12527	12084
509	12541	12049
510	12551	12010
511	12563	11975
512	12575	11938
513	12587	11901
514	12600	11866
515	12612	11830
516	12626	11796
517	12637	11759
518	12650	11724
519	12664	11689
520	12678	11656
521	12690	11620
522	12700	11583
523	12712	11547
524	12722	11510
525	12734	11475
526	12747	11440
527	12760	11407
528	12773	11373
529	12790	11342
530	12804	11309
531	12820	11277
532	12834	11245
533	12847	11211
534	12859	11177
535	12872	11143
536	12884	11108
537	12896	11074
538	12907	11039
539	12922	11007
540	12936	10975
541	12949	10942
542	12964	10911
543	12980	10880
544	12999	10852
545	13014	10821
546	13032	10792
547	13045	10759
548	13056	10725
549	13067	10691
550	13082	10660
551	13098	10630
552	13113	10600
553	13133	10572
554	13151	10544
555	13166	10514
556	13183	10484
557	13195	10452
558	13207	10419
559	13218	10386
560	13231	10353
561	13243	10321
562	13256	10290
563	13267	10256
564	13279	10224
565	13292	10192
566	13307	10162
567	13317	10129
568	13329	10096
569	13342	10065
570	13354	10033
571	13366	10001
572	13377	9968
573	13388	9936
574	13399	9904
575	13413	9873
576	13428	9844
577	13439	9812
578	13452	9781
579	13465	9750
580	13479	9720
581	13494	9691
582	13507	9661
583	13517	9628
584	13534	9601
585	13546	9570
586	13559	9540
587	13570	9508
588	13581	9477
589	13592	9445
590	13603	9414
591	13614	9382
592	13626	9352
593	13638	9321
594	13648	9289
595	13663	9262
596	13675	9231
597	13691	9204
598	13704	9174
599	13716	9144
600	13727	9113
601	13738	9083
602	13748	9051
603	13759	9021
604	13771	8991
605	13785	8962
606	13797	8933
607	13812	8905
608	13827	8877
609	13845	8851
610	13860	8824
611	13877	8798
612	13889	8768
613	13901	8739
614	13912	8709
615	13924	8680
616	13935	8650
617	13945	8620
618	13957	8590
619	13970	8562
620	13984	8535
621	13997	8506
622	14009	8477
623	14023	8450
624	14039	8423
625	14052	8395
626	14064	8366
627	14076	8338
628	14091	8311
629	14105	8284
630	14119	8256
631	14133	8229
632	14149	8203
633	14167	8178
634	14193	8158
635	14209	8132
636	14229	8108
637	14246	8083
638	14257	8054
639	14270	8027
640	14279	7997
641	14291	7969
642	14304	7941
643	14317	7914
644	14328	7886
645	14341	7858
646	14354	7831
647	14367	7804
648	14378	7776
649	14390	7748
650	14402	7721
651	14414	7693
652	14425	7665
653	14436	7637
654	14448	7610
655	14460	7582
656	14473	7556
657	14489	7530
658	14502	7504
659	14517	7478
660	14543	7458
661	14579	7443
662	14615	7429
663	14647	7411
664	14685	7398
665	14724	7384
666	14773	7375
667	14795	7353
668	14810	7327
669	14832	7305
670	14847	7279
671	14909	7277
672	14947	7262
673	14984	7247
674	15013	7228
675	15034	7205
676	15053	7182
677	15078	7161
678	15098	7137
679	15122	7116
680	15145	7094
681	15167	7072
682	15198	7054
683	15222	7032
684	15241	7008
685	15261	6985
686	15293	6967
687	15326	6950
688	15348	6928
689	15366	6903
690	15382	6878
691	15399	6854
692	15417	6830
693	15432	6804
694	15445	6778
695	15463	6754
696	15486	6732
697	15513	6712
698	15532	6688
699	15554	6666
700	15575	6643
701	15591	6618
702	15611	6595
703	15643	6577
704	15674	6559
705	15698	6537
706	15716	6513
707	15730	6487
708	15743	6461
709	15757	6436
710	15770	6410
711	15785	6385
712	15796	6358
713	15810	6332
714	15823	6307
715	15837	6281
716	15850	6256
717	15862	6230
718	15876	6204
719	15890	6179
720	15906	6155
721	15920	6129
722	15929	6103
723	15945	6078
724	15957	6053
725	15970	6027
726	15982	6001
727	15994	5975
728	16005	5949
729	16014	5923
730	16024	5896
731	16035	5871
732	16045	5844
733	16056	5818
734	16068	5793
735	16081	5768
736	16098	5744
737	16119	5722
738	16133	5697
739	16152	5675
740	16169	5651
741	16183	5627
742	16198	5602
743	16217	5580
744	16241	5559
745	16268	5539
746	16286	5516
747	16297	5490
748	16309	5465
749	16321	5440
750	16334	5415
751	16345	5390
752	16356	5365
753	16370	5340
754	16381	5315
755	16393	5290
756	16404	5266
757	16416	5241
758	16427	5216
759	16441	5191
760	16452	5167
761	16470	5144
762	16490	5122
763	16505	5098
764	16521	5075
765	16535	5051
766	16549	5027
767	16566	5004
768	16581	4980
769	16596	4957
770	16617	4935
771	16638	4913
772	16656	4891
773	16678	4869
774	16697	4847
775	16729	4829
776	16748	4806
777	16770	4785
778	16787	4762
779	16808	4740
780	16829	4719
781	16848	4697
782	16880	4678
783	16904	4657
784	16926	4636
785	16946	4613
786	16963	4591
787	16983	4569
788	17001	4546
789	17029	4526
790	17048	4504
791	17066	4481
792	17083	4459
793	17098	4436
794	17111	4412
795	17127	4389
796	17143	4366
797	17156	4342
798	17170	4319
799	17189	4297
800	17205	4274
801	17221	4251
802	17235	4228
803	17252	4205
804	17268	4183
805	17303	4164
806	17325	4143
807	17340	4120
808	17358	4098
809	17373	4075
810	17386	4051
811	17400	4028
812	17415	4005
813	17428	3982
814	17442	3959
815	17454	3935
816	17469	3912
817	17486	3890
818	17503	3868
819	17518	3845
820	17533	3822
821	17548	3800
822	17564	3777
823	17578	3754
824	17591	3731
825	17605	3708
826	17618	3685
827	17631	3662
828	17647	3640
829	17661	3617
830	17679	3595
831	17693	3572
832	17708	3550
833	17720	3527
834	17731	3503
835	17745	3481
836	17762	3459
837	17779	3437
838	17793	3414
839	17810	3392
840	17825	3370
841	17840	3347
842	17855	3325
843	17871	3303
844	17889	3281
845	17902	3258
846	17914	3235
847	17928	3213
848	17940	3190
849	17950	3167
850	17962	3144
851	17979	3123
852	17999	3101
853	18024	3081
854	18043	3059
855	18057	3037
856	18072	3015
857	18087	2993
858	18103	2971
859	18122	2950
860	18137	2928
861	18152	2906
862	18165	2883
863	18178	2861
864	18193	2839
865	18212	2818
866	18228	2796
867	18241	2774
868	18257	2752
869	18272	2730
870	18289	2708
871	18307	2687
872	18332	2666
873	18350	2645
874	18372	2624
875	18388	2602
876	18402	2580
877	18415	2558
878	18429	2536
879	18442	2514
880	18457	2493
881	18472	2471
882	18486	2449
883	18502	2427
884	18519	2406
885	18532	2384
886	18543	2362
887	18559	2340
888	18572	2318
889	18589	2297
890	18604	2275
891	18619	2254
892	18632	2232
893	18643	2210
894	18657	2188
895	18672	2167
896	18689	2146
897	18706	2124
898	18724	2103
899	18740	2082
900	18755	2060
901	18770	2039
902	18786	2018
903	18803	1996
904	18819	1975
905	18838	1954
906	18855	1933
907	18872	1912
908	18905	1892
909	18924	1871
910	18949	1851
911	18972	1830
912	18993	1809
913	19018	1789
914	19038	1768
915	19078	1749
916	19115	1730
917	19141	1709
918	19163	1689
919	19187	1668
920	19219	1648
921	19244	1628
922	19271	1607
923	19289	1586
924	19305	1565
925	19320	1544
926	19341	1523
927	19370	1502
928	19399	1482
929	19417	1461
930	19435	1440
931	19459	1419
932	19481	1398
933	19504	1378
934	19520	1357
935	19540	1336
936	19554	1314
937	19567	1293
938	19583	1272
939	19598	1250
940	19613	1229
941	19633	1208
942	19649	1187
943	19664	1166
944	19678	1145
945	19691	1124
946	19701	1102
947	19715	1081
948	19729	1060
949	19744	1039
950	19762	1018
951	19778	997
952	19793	976
953	19806	955
954	19822	934
955	19836	912
956	19849	891
957	19868	871
958	19888	850
959	19902	829
960	19920	808
961	19933	787
962	19947	766
963	19962	745
964	19977	724
965	19992	703
966	20005	682
967	20025	661
968	20041	641
969	20054	620
970	20066	599
971	20082	578
972	20098	557
973	20113	536
974	20127	516
975	20141	495
976	20155	474
977	20166	453
978	20179	432
979	20194	412
980	20209	391
981	20225	370
982	20238	350
983	20254	329
984	20272	308
985	20290	288
986	20307	267
987	20321	246
988	20338	226
989	20353	205
990	20371	185
991	20384	164
992	20405	143
993	20426	123
994	20446	102
995	20470	82
996	20484	61
997	20501	41
998	20513	20
999	20535	0
